"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2022","10,985.45","10,915.97","11,006.43","10,830.90","191.57M","0.27%"
"12/22/2022","10,956.14","11,098.46","11,114.23","10,784.30","305.00M","-2.49%"
"12/21/2022","11,235.88","11,112.54","11,285.72","11,086.30","237.54M","1.48%"
"12/20/2022","11,072.42","11,021.91","11,143.35","10,968.02","264.25M","-0.11%"
"12/19/2022","11,084.59","11,239.67","11,251.57","11,030.15","285.92M","-1.42%"
"12/16/2022","11,243.72","11,313.76","11,382.66","11,175.92","860.90M","-0.89%"
"12/15/2022","11,345.22","11,573.26","11,590.80","11,300.66","325.28M","-3.37%"
"12/14/2022","11,740.92","11,822.98","11,941.28","11,620.26","295.70M","-0.79%"
"12/13/2022","11,834.21","12,141.18","12,159.23","11,727.38","349.42M","1.09%"
"12/12/2022","11,706.44","11,573.15","11,706.44","11,529.75","245.45M","1.24%"
"12/09/2022","11,563.33","11,594.38","11,707.08","11,550.31","243.50M","-0.64%"
"12/08/2022","11,637.50","11,540.03","11,671.93","11,470.68","236.99M","1.22%"
"12/07/2022","11,497.39","11,491.20","11,576.07","11,432.38","228.03M","-0.45%"
"12/06/2022","11,549.68","11,775.21","11,790.93","11,488.82","233.60M","-2.01%"
"12/05/2022","11,786.80","11,900.74","11,957.30","11,732.20","228.80M","-1.73%"
"12/02/2022","11,994.26","11,845.31","12,025.36","11,827.84","234.75M","-0.40%"
"12/01/2022","12,041.89","12,030.97","12,113.81","11,928.85","256.77M","0.10%"
"11/30/2022","12,030.06","11,506.00","12,030.06","11,481.98","495.38M","4.58%"
"11/29/2022","11,503.45","11,589.86","11,613.24","11,450.55","195.88M","-0.73%"
"11/28/2022","11,587.75","11,684.07","11,763.64","11,555.41","238.64M","-1.46%"
"11/25/2022","11,759.62","11,777.86","11,803.73","11,749.50","70.46M","-0.67%"
"11/23/2022","11,838.71","11,726.14","11,866.41","11,722.01","180.48M","0.97%"
"11/22/2022","11,724.84","11,590.06","11,731.36","11,503.34","217.51M","1.48%"
"11/21/2022","11,553.45","11,624.00","11,664.27","11,524.44","219.80M","-1.06%"
"11/18/2022","11,677.02","11,792.79","11,792.79","11,579.92","247.36M","0.00%"
"11/17/2022","11,676.86","11,524.21","11,737.47","11,519.82","233.85M","-0.19%"
"11/16/2022","11,699.09","11,768.79","11,796.81","11,673.36","251.30M","-1.45%"
"11/15/2022","11,871.15","12,005.27","12,023.50","11,736.00","290.64M","1.45%"
"11/14/2022","11,700.94","11,730.10","11,863.54","11,669.63","272.08M","-0.98%"
"11/11/2022","11,817.01","11,602.29","11,839.97","11,537.20","318.07M","1.82%"
"11/10/2022","11,605.96","11,351.07","11,610.22","11,235.74","451.03M","7.49%"
"11/09/2022","10,797.55","10,973.87","11,009.46","10,790.35","295.74M","-2.37%"
"11/08/2022","11,059.50","11,038.31","11,191.64","10,897.91","262.02M","0.75%"
"11/07/2022","10,977.00","10,900.83","11,000.81","10,818.05","265.93M","1.11%"
"11/04/2022","10,857.03","10,910.64","10,933.83","10,633.45","352.45M","1.56%"
"11/03/2022","10,690.60","10,769.43","10,851.76","10,682.36","309.69M","-1.98%"
"11/02/2022","10,906.34","11,300.27","11,410.91","10,903.48","342.40M","-3.39%"
"11/01/2022","11,288.95","11,571.52","11,574.39","11,278.28","258.91M","-1.02%"
"10/31/2022","11,405.57","11,465.21","11,482.99","11,331.26","304.15M","-1.22%"
"10/28/2022","11,546.21","11,176.99","11,563.16","11,176.99","355.96M","3.17%"
"10/27/2022","11,191.63","11,387.71","11,417.04","11,179.90","343.35M","-1.88%"
"10/26/2022","11,405.90","11,409.79","11,657.06","11,388.34","330.32M","-2.26%"
"10/25/2022","11,669.99","11,482.87","11,681.85","11,480.41","275.48M","2.10%"
"10/24/2022","11,430.26","11,321.11","11,468.18","11,166.49","280.87M","1.06%"
"10/21/2022","11,310.33","10,998.17","11,327.77","10,962.01","324.07M","2.39%"
"10/20/2022","11,046.71","11,081.23","11,279.81","11,001.28","241.40M","-0.51%"
"10/19/2022","11,103.38","11,081.82","11,231.46","11,008.11","223.79M","-0.40%"
"10/18/2022","11,147.74","11,368.76","11,374.38","11,035.80","246.56M","0.77%"
"10/17/2022","11,062.53","10,967.25","11,090.87","10,959.75","293.32M","3.46%"
"10/14/2022","10,692.06","11,130.08","11,152.89","10,677.48","299.49M","-3.10%"
"10/13/2022","11,033.58","10,481.58","11,087.66","10,440.64","355.13M","2.30%"
"10/12/2022","10,785.61","10,810.30","10,886.49","10,754.85","234.88M","-0.05%"
"10/11/2022","10,791.35","10,865.32","10,981.91","10,716.33","285.80M","-1.24%"
"10/10/2022","10,926.97","11,048.51","11,063.21","10,824.25","247.71M","-1.02%"
"10/07/2022","11,039.47","11,272.46","11,293.65","10,991.66","325.37M","-3.88%"
"10/06/2022","11,485.50","11,556.40","11,660.55","11,472.83","224.26M","-0.76%"
